name|parent_id|complete_name|pms|faes|arancel_id|estimate_cost|level
TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|PM-RRELATS|FAE-4|84733080|6,35|4
ISA|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / ISA|PM-RRELATS|FAE-4|84733080|6,35|5
PCI|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / PCI|PM-RRELATS|FAE-4|84733080|6,35|5
PCIE|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / PCIE|PM-RRELATS|FAE-4|84733080|6,35|5
MINIPCI|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / MINIPCI|PM-RRELATS|FAE-4|84733080|6,35|5
MINIPCIE|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / MINIPCIE|PM-RRELATS|FAE-4|84733080|6,35|5
M.2|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / M.2|PM-RRELATS|FAE-4|84733080|6,35|5
PRODUCTO ESPECIAL|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO|SOLUCIONES DE VISUALIZACION / ILUMINACION LED / ILUMINACION ARDECO / PRODUCTO ESPECIAL|PM-ILED|FAE-9|94054039|13,1|4
OTRO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / TARJETA EXPANSION / OTRO|PM-ILED|FAE-9|94054039|6,35|5
DISIPADOR|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO|HARDWARE INDUSTRIAL / TRADE SISTEMAS / PERIFERICO / DISIPADOR|PM-ILED|FAE-9|94054039|6,35|4
