name|product_tmpl_id|product_name|product_code
100198|8MHZ-AT49||XTBP08000
100379|8MHZ-AT49||1CR0000008
102218|8MHZ-AT49||XTBP08000
110436|8MHZ-AT49||641801
110448|8MHZ-AT49||33400
100593|8MHZ-AT49-40ºA+85º||561020/00
110397|8MHZ-AT49-ROHS||BA000069
110277|8MHZ-ROHS||P01LT0000007
110590|8MHZ-SMD49||6771
140020|8MHZ-SMD49-40º/+80º||CSTCC800MREX
100572|8MHZ-SMD49-ROHS||210173
100593|8MHZ-SMD49-ROHS||793145
100419|9,8304MHZ||IDI9909830
100419|9,8304MHZ-AT49||IDI9909810
100946|9,8304MHZ-AT49||66890069
110436|9,8304MHZ-AT49||641983
110459|9,8304MHZ-AT49||649830
100708|9,8304MHZ-SMD49||35005-57
103824|90MKL2BTNNMS||100415
100816|910179||702724
102689|910179||T-E-VEN-606010
100816|910179-SAT||702724
101059|91301318||12244397
101865|91301322||MONO91301322
100197|91301337||P011343
110329|93-1628-R||JANSR2N7480U3
110329|93-1643-R||5060183830
110329|93-1717-R||5060154030
110329|93-1736-R||5060155520
100593|95636||597007/00
100432|95647||3LCD000000009
100392|95659||3019150
100432|95703||3ITG000000094
102451|968D3002GK||10428222
103336|9741663700||972697416630
103336|9741663705||972697416635
103030|97G070V1N0F-2||PROM-97G070V1N0F-2
100435|A10340||4410772
102340|A10340||WZ00000172
101917|A10340H||GE0801-0030
101918|A10376||129-2009
103696|A10376||129-2009
100435|A1101ELHLT-T||4401200
100523|A1101EUA-T||10135
100779|A1101EUA-T||MSSF000000001
101602|A1101EUA-T||6SA3020
110397|A1101EUA-T||AI000014
101007|A1104EUA-T||11022
120222|A1210LUA-T||21A090
102419|A1221LLHLX-T||394661/299951
104329|A1221LLHLX-T||394661/299951
110248|A1321ELHLT||10132106492
101133|A1321EUA||6504-00502.0
102419|A1321EUA-T||185976
104329|A1321EUA-T||185976
110385|A1321EUA-T||SIFA01104010
150075|A1323LUA-T||C221UGN3508U
102419|A1324LUA-T||222707
104329|A1324LUA-T||222707
102002|A1395SEHLT-T||V935A1395SEHLTT
100802|A1422LK-T||107528
100802|A1425LK-T||107513
100631|A-150FAO-27||AE/FL-21
101393|A205RI||91742201
110415|A205RI||91742201
110500|A205RI||91742201
120415|A218EHI||15478
100102|A2580SLW-T/R||5405142
103826|A2595SLW||1062024
120115|A2595SLW||1062024
120338|A2982SLWTR-T||03705330-0
101817|A311RW||NDTS1203C
110590|A312RUI||4401
100593|A3141EUA||552011/00
100779|A3141EUA||MSSF000000001
100466|A316RW||495004
100345|A3187LUA||3333
102419|A3212ELHLT-T||3000272
104329|A3212ELHLT-T||3000272
100138|A321ERW||15.42.369
101413|A324R||M000008
100139|A3291KLHLT-T||803422910
100290|A3291KLHLT-T||AC602
100438|A3422EKA||88267
150075|A3508SUA||UGN3508U
110385|A3515EUA||SIFA011020
100788|A3516EUA||691510002
110415|A3951SW||2146373
100278|A3967SLB-T+||2262
101826|A400225||ELE054303
100152|A517RW||106105574
102419|A553RW||171712
104329|A553RW||171712
120061|A553RW||171712
100138|A602ERU||15.42.360
103547|A605ERU||5510079
110155|A613ERU-I||13661
100778|A6275EA||424090
120338|A6275EA-T||09700486-0
100778|A6275ELW||466900
100017|A6801SA-T||2400ALE001
101488|A6801SA-T||2400ALE001
110438|A6801SA-T||EU10198
110472|A6801SA-T||C084071801
100017|A6801SEP-T||2400ALE002
