"name"|"parent_id"|"complete_name"|"pms"|"faes"|"arancel_id"|"logistics_cost"|"level"
"OTRO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / ALIMENTACION / OTRO"|"Carles García"|"Rubén Pérez"|"85043180"|"2,35"|"5"
"SOFTWARE"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO"|"SEMICONDUCTORES & ELECTROMECÁNICOS / IMPRESION / ACCESORIO / SOFTWARE"|"Carles García"|"Sergi Gomis"|"84729080"|"2,35"|"4"
"ANTENA EXTERNA"|"COMUNICACIONES INDUSTRIALES / ANTENAS"|"COMUNICACIONES INDUSTRIALES / ANTENAS / ANTENA EXTERNA"|"Carles García"|"Sergi Gomis"|"84729080"|"7,25"|"3"
"SISTEMAS ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION"|"Carles García"|"Sergi Gomis"|"85044030"|"7,1"|"2"
"ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION"|"Carles García"|"Sergi Gomis"|"85044030"|"7,1"|"3"
"FUENTE AC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC"|"Carles García"|"Sergi Gomis"|"85044030"|"7,1"|"4"
"CHASIS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / CHASIS"|"Carles García"|"Sergi Gomis"|"85043180"|"7,1"|"5"
"OPEN FRAME"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / OPEN FRAME"|"Carles García"|"Sergi Gomis"|"85043180"|"7,1"|"5"
"PCB"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / PCB"|"Carles García"|"Sergi Gomis"|"85043180"|"7,1"|"5"
"CUSTOM/SEMICUSTOM"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / FUENTE AC/DC / CUSTOM/SEMICUSTOM"|"Carles García"|"Sergi Gomis"|"85043180"|"7,1"|"5"
"CONVERTIDOR DC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC"|"Carles García"|"Sergi Gomis"|"85043180"|"7,1"|"4"
"CHASIS"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC"|"SEMICONDUCTORES & ELECTROMECÁNICOS / SISTEMAS ALIMENTACION / ALIMENTACION / CONVERTIDOR DC/DC / CHASIS"|"Carles García"|"Sergi Gomis"|"85043180"|"7,1"|"5"
