unique_code|path|name|res_id|res_model|create_date|create_user|comments
7505|/home/odoo_files/Products/KINO-DAL-N1-R10|IMG_KINO-DAL-N1-R10.jpg|KINO-DAL-N1-R10|product_template|2018-12-10|Roger Relats|Imagen
7506|/home/odoo_files/Products/KINO-DAL-N1-R10|DS_KINO-DAL-N1-R10.pdf|KINO-DAL-N1-R10|product_template|2018-12-10|Roger Relats|DataSheet
7507|/home/odoo_files/Products/KIT-2XANT_LTE_100RG58_2XSM|IMG_KIT-2XANT_LTE_100RG58_2XSM.jpg|KIT-2XANT_LTE_100RG58_2XSM|product_template|2018-12-27|OdooBot|Imagen
7508|/home/odoo_files/Products/KIT-2XANT_LTE_100RG58_2XSM|DS_KIT-2XANT_LTE_100RG58_2XSM.pdf|KIT-2XANT_LTE_100RG58_2XSM|product_template|2018-12-27|OdooBot|DataSheet
7509|/home/odoo_files/Products/KIT-AD2535|CE_KIT-AD2535.pdf|KIT-AD2535|product_template|2012-06-30|OdooBot|Certificación
7510|/home/odoo_files/Products/KIT-AD2535|DS_KIT-AD2535.pdf|KIT-AD2535|product_template|2012-06-30|OdooBot|DataSheet
7511|/home/odoo_files/Products/KIT-AD2535|TXT_KIT-AD2535.txt|KIT-AD2535|product_template|2012-06-30|OdooBot|Descripción
7512|/home/odoo_files/Products/KIT-AD2535|I_KIT-AD2535.jpg|KIT-AD2535|product_template|2018-06-04|Jesús Gutiérrez|Imagen
7513|/home/odoo_files/Products/KIT-ARAN-TUER-PROT|IMG_KIT-ARAN-TUER-PROT.png|KIT-ARAN-TUER-PROT|product_template|2018-10-28|Jordi Gutiérrez|Imagen
7514|/home/odoo_files/Products/KIT-IBC07-KIMALDI-KAPTIO|DS_KIT-IBC07-KIMALDI-KAPTIO.pdf|KIT-IBC07-KIMALDI-KAPTIO|product_template|2019-01-28|Aina Servent|DataSheet
7515|/home/odoo_files/Products/KIT-IBC07-KIMALDI-MAPAL|DS_KIT-IBC07-KIMALDI-MAPAL.pdf|KIT-IBC07-KIMALDI-MAPAL|product_template|2019-01-28|Aina Servent|DataSheet
