product_code|partner_ref|min_quantity|create_date|create_user
MDS-001-B|101623|0|2020-12-22|Núria Soler
MDS-001-B|101623|4|2021-07-29|Núria Soler
MDS-001-B|101623|20|2021-10-07|Núria Soler
MEL-FS50WW1-24-WP|102444|25|2014-03-19|
MF-51MD1B|101995|5|2012-11-23|
MF-51MD1B|101995|5|2013-01-28|
MG-4EK|120015|800|2009-03-19|
MG-8EK|120015|1500|2009-03-19|
MG-8EK|120015|100|2009-11-16|
MIX-H310A1-A10-4L|104185|0|2021-05-14|Núria Soler
MIX-H310A1-A11-4L|104185|10|2021-11-10|Núria Soler
MK22-B-2|102419|5000|2013-09-09|
MONOL17875180148-4MMPCHM|101945|30|2010-07-30|
MONOL17875180148-4MMPCHM|101945|15|2010-07-30|
MONOL17875180148-4MMPCHM|101945|0|2011-11-09|
MP-31M51B|101398|5|2010-06-11|
MP-31M51B|101398|10|2010-10-06|
MP-31M51B|101398|9|2010-12-17|
MP-31M51B|101398|7|2011-01-19|
MP-31M51B|101398|2|2011-03-18|
MP-31M51B|101398|4|2012-05-02|
MP-35S51B|101398|2|2010-06-11|
MP-61M51B|101398|10|2010-06-11|
MP-61M51B|101398|5|2010-10-14|
MP-61M51B|101398|4|2010-10-14|
MP-61M51B|101398|3|2010-11-05|
MP-61M51B|101995|8|2012-01-05|
MP-61M51B|101995|5|2012-11-16|
MR11-3XPE-WW|101995|15|2013-09-20|
MR16-3A-3X3W-CW|101937|20|2010-10-15|
MR16-3A-3X3W-CW|101995|20|2011-01-17|
MR16-3A-3X3W-CW|101995|70|2011-02-25|
MR16-3A-3X3W-CW|102028|50|2012-11-26|
MR16-3A-3X3W-WW|101930|20|2010-10-15|
MR16-3A-3X3W-WW|101937|25|2010-10-15|
MR16-3A-3X3W-WW|101995|20|2011-01-17|
MR16-3A-3X3W-WW|101995|30|2011-02-25|
MR16-5WCOB-WW|101765|15|2014-01-14|
MS621FE|103696|0|2017-01-30|
MS621FE-FL11E|101918|1000|2015-09-16|
MS621FE-FL11E|103696|0|2017-01-30|
NETDCU8-LIN|100187|100|2009-11-16|
OS-W10E-600-01607-MUI|100816|140|2020-10-27|Núria Soler
OS-W10V-600-01607-MUI|102744|0|2020-04-27|
OS-W10V-600-01607-MUI|104196|1|2019-05-13|
PA10-J501F69I5R8SSD120|104196|1|2019-04-15|
PA9-GOVATWPV4552R1CF8/R02|100816|4|2013-10-30|
PA9-UIBX250R4SSD60/R06|101623|0|2020-10-28|Núria Soler
PA9-UIBX250R4SSD60/R06|101623|0|2020-12-22|Núria Soler
PA9-WPV4552R1CF8HELIX/R00|100816|12|2013-10-30|
PANLED-600X600-CW|102132|6|2013-10-01|
PANLED-600X600-CW|102519|20|2013-07-08|
PANLED-600X600-CW-E|102231|8|2014-02-19|
PANLED-600X600-NW-E|102109|80|2014-01-29|
PANLED-600X600-NW-V2|101578|21|2014-11-24|
PANLED-600X600-NW-V2|102493|20|2013-07-24|
PANLED-600X600-WW|102109|5|2013-04-05|
PANLED-600X600-WW-E|102109|30|2014-01-29|
PANLED-D300-20W-WW|102202|15|2013-07-05|
PB9-104BSW5R4CF8SELFPROL/R06|100816|80|2020-10-27|Núria Soler
PB9-15EMBT1R2S120TCPAL/R07|101623|30|2020-09-28|
PC0802LRU-AW5-BQ|101410|252|2021-01-22|Núria Soler
PC1602ARU-QWA-AP3Q|101290|90|2010-11-04|
PC1602ARU-QWA-AP3Q|101290|78|2011-04-13|
PC1602ARU-QWA-AP3Q|101290|78|2013-04-05|
PC1602ARU-QWA-AP3Q|101290|78|2013-05-27|
PC1602ARU-QWA-AP3Q|110490|315|2010-11-04|
PC1602ARU-QWA-AP3Q|110490|312|2011-04-13|
PC1602ARU-QWA-AP3Q|110490|234|2012-09-20|
PC1602ARU-QWA-AP3Q|110490|234|2013-03-21|
PC1602ARU-QWA-AP3Q|110490|234|2013-04-05|
PC1602ARU-QWA-AP3Q|110490|234|2013-05-27|
PC1602LRU-DWA-B-Y4Q|110473|0|2012-03-15|
PC2004LRU-AWA-HQ|100816|48|2019-10-22|
PC2004LRU-BWA-HQ|100495|200|2010-01-19|
PC9-104BSWR4MS64WAY|101623|20|2020-11-30|Núria Soler
